ftime(hr)    y01   DS02   LG02   HWFI   AVNI   VMXC   DV12   SLAT   SSTN   SHDC   DTL 
  24         1.2   -4.8   -4.8    7.2    2.2   58.8    0.0   24.5   28.2   30.2 1442.4
  24         0.2   -0.8   -2.8   -3.8    7.2   59.8    0.0   25.6   28.6   27.5 1374.6
  24         1.5   -2.5   -4.5    4.5    2.5   63.5    0.0   26.9   29.0   23.2 1360.8
  24        -6.2    1.8    0.8    1.8   -4.2   71.2    5.0   27.9   28.9   16.4 1346.4
  24        -1.0    2.0   -1.0    2.0   -3.0   71.0    0.0   28.4   28.9   13.0 1326.4
  24         1.8   -0.2   -2.2   -0.2    2.8   73.2    0.0   29.3   28.8    8.5 1344.8
  24        -4.0    1.0    1.0   -4.0    2.0   79.0    5.0   29.8   28.6    6.2 1315.4
  24         2.0    3.0    4.0   -4.0   -3.0   78.0    5.0   30.4   28.5    4.6 1285.0
  24        -0.5    4.5    4.5   -5.5   -3.5   85.5    5.0   31.1   28.3    3.5 1236.0
  24         1.8    6.8    6.8   -9.2   -4.2   88.2   10.0   31.9   28.3    4.0 1177.2
  24        -1.3    2.7    2.7    0.0   -5.3   91.3    5.0   32.9   28.2    5.3 1085.2
  24        -1.5    2.5    6.5   -3.5   -5.5   91.5    5.0   33.8   28.3    9.2 1018.4
  24        -7.8   -1.8    0.2    6.2   -4.8   97.8   10.0   35.1   28.2   15.0  926.4
  24       -11.2   -4.2   -1.2   12.8   -7.2   96.2   10.0   36.3   27.9   21.2  891.0
  24        -8.5   -7.5   -4.5    4.5    7.5   93.5    5.0   37.4   27.7   28.5  850.0
  24        -4.2  -11.2   -8.2    5.8   13.8   89.2    0.0   38.7   27.3   35.3  777.8
  24        -3.5    0.5    0.5    1.5   -2.5   38.5    5.0   15.9   27.2    2.7  619.0
  24       -15.0    3.0    2.0   -2.0   -3.0   45.0    5.0   16.4   27.2    2.5  751.6
  24       -14.0    5.0    4.0   -5.0   -4.0   44.0    5.0   16.5   27.2    3.4  880.2
  24       -13.0    1.0   -1.0   -2.0    2.0   43.0    0.0   16.7   27.2    2.6 1023.8
  24        -5.8    3.2    2.2   -6.8    1.2   40.8    0.0   16.9   27.3    5.4 1190.4
  24        -6.2    2.8    0.8    1.8   -5.2   41.2    0.0   17.3   27.0    7.3 1342.4
  24        -1.2   -0.2   -5.2    5.8   -0.2   36.2   -5.0   17.5   26.9    9.9 1485.8
  24        -3.0    0.0   -3.0   10.0   -7.0   38.0    0.0   18.0   26.5   10.7 1620.2
  24         2.2    4.2    5.2   -7.8   -1.8   37.8    5.0   18.3   26.4   11.8 1715.8
  24        -1.0    3.0    3.0   -9.0    3.0   41.0    5.0   18.6   26.4    9.8 1813.0
  24        -7.5   -0.5   -2.5   -6.5    9.5   42.5    0.0   18.4   26.7   13.2 1947.6
  24        -7.8   -1.8   -2.8    0.2    4.2   42.8    0.0   18.6   26.2   11.0 2025.4
  24       -15.0    5.0    7.0   -9.0   -3.0   50.0   10.0   19.0   26.3    8.5 2097.8
  24       -18.5    0.5    3.5   -0.5   -3.5   53.5   10.0   19.4   26.4    6.6 2140.2
  24       -10.0   -2.0   -3.0    5.0    0.0   45.0   -5.0   19.9   26.4    4.3 2170.2
  24       -10.0   -3.0   -3.0    7.0   -1.0   45.0   -5.0   20.4   26.2    3.7 2179.8
  24        -8.8   -3.8   -3.8    9.2   -1.8   38.8   -5.0   21.2   26.3    5.0 2166.2
  24        -4.2    0.8   -0.2   -0.2   -0.2   34.2   -5.0   21.9   26.4    7.5 2166.2
  24        -6.2    2.8    2.8   -1.2   -4.2   36.2    0.0   22.6   26.7    7.3 2151.6
  24        -6.2    0.8    0.8   -2.2    0.8   36.2    0.0   23.6   27.0   11.5 2176.8
  24        -0.2   -0.2   -2.2    0.8    1.8   30.2   -5.0   24.4   27.2   13.9 2168.0
  24        -2.8    1.2   -0.8    2.2   -2.8   27.8   -5.0   25.4   27.4   15.7 2133.4
  24         3.0    2.0   -1.0    1.0   -2.0   22.0   -5.0   26.2   27.5   19.2 2100.2
  24         1.5    0.5   -2.5    3.5   -1.5   23.5   -5.0   26.9   27.5   22.6 2080.0
  24        -0.5    1.5   -1.5    4.5   -4.5   25.5    0.0   27.3   27.5   25.5 2056.2
  24         1.3    1.3   -0.7   -0.7    0.0   33.7    5.0   26.2   30.0   11.2   20.0
  24        11.5    1.5   -0.5    1.5   -2.5   33.5    0.0   26.3   30.1   13.1   32.2
  24         8.5    1.5   -2.5    5.5   -4.5   41.5    0.0   26.3   30.0   13.7   85.8
  24         3.0    2.0    0.0    7.0   -9.0   47.0    5.0   26.3   30.0   13.1  122.4
  24         4.2    1.2   -0.8    3.2   -3.8   45.8    5.0   26.9   29.9   13.7  163.8
  24        -6.0    4.0    4.0    1.0   -9.0   56.0   10.0   27.5   29.6   12.9  195.0
  24        -2.2    4.8    8.8   -7.2   -6.2   62.2   15.0   28.0   29.5   12.9  186.2
  24        20.8    1.8    2.8   -1.2   -3.2   59.2    5.0   28.3   29.5   13.4  159.8
  24        18.8   -0.2   -3.2    3.8   -0.2   61.2    0.0   28.6   29.5   15.4  145.2
  24        17.8   -3.2   -4.2    8.8   -1.2   62.2    0.0   28.7   29.4   16.7  119.8
  24         6.2   -2.8   -2.8   10.2   -4.8   68.8    5.0   28.9   29.3   19.1  130.2
  24       -21.2   -1.2    1.8   -2.2    1.8   91.2   30.0   29.1   29.3   22.4  108.2
  24        -8.5    0.5    6.5   -7.5    0.5   83.5   25.0   29.3   29.3   24.9   98.2
  24        15.0   -1.0    2.0   -6.0    5.0   75.0    0.0   29.3   29.2   25.7   77.6
  24        20.0    2.0    2.0  -10.0    6.0   65.0   -5.0   29.7   29.2   25.7   59.6
  24        13.8    5.8    4.8   -8.2   -2.2   46.2  -10.0   29.9   29.3   25.9   39.4
  24        -5.8    3.2    4.2   -3.8   -3.8   40.8    0.0   30.3   29.4   26.4   -4.2
  24       -12.8   -1.8   -0.8    1.2    1.2   42.8   20.0   30.7   29.2   27.5  -41.4
  24       -12.3    2.7   -0.3    0.0   -2.3   42.3    5.0   12.2   28.2    8.8 1749.4
  24        -9.0    0.0   -6.0    4.0    2.0   44.0    0.0   12.6   28.0    8.2 1736.2
  24        -8.8    1.2   -6.8    7.2   -1.8   43.8    0.0   12.7   28.0    8.5 1689.4
  24        -1.2    2.8   -3.2    2.8   -2.2   41.2    0.0   13.1   28.0    5.4 1634.8
  24         1.8    1.8   -4.2    4.8   -2.2   43.2    0.0   13.3   28.0    4.5 1551.2
  24        -1.2    1.8   -1.2    0.8   -1.2   51.2    5.0   13.8   28.0    3.7 1470.8
  24         1.0    5.0   -1.0   -2.0   -2.0   54.0    5.0   13.3   28.5    5.4 1271.6
  24       -12.5    7.5    3.5   -5.5   -5.5   67.5   10.0   13.5   28.7    5.6 1224.4
  24        -3.2    8.8    2.8   -3.2   -8.2   68.2   10.0   13.8   28.8    3.3 1192.6
  24        11.5    2.5    0.5    1.5   -4.5   68.5   10.0   14.4   27.7    3.5 1195.4
  24        17.8    2.8    0.8    7.8  -11.2   67.2   10.0   14.9   27.8    3.7 1204.8
  24        21.8   -0.2   -3.2   12.8   -9.2   63.2    5.0   15.5   27.9    5.2 1220.8
  24         7.8    6.8    4.8   -6.2   -5.2   77.2   15.0   16.0   28.0    5.9 1257.2
  24        -3.8    3.2    3.2   -6.8    0.2   88.8   25.0   16.7   27.8    7.1 1292.6
  24         8.2    1.2    0.2   -1.8    0.2   86.8   15.0   17.5   27.6   10.3 1308.0
  24        28.0    1.0   -2.0   -5.0    6.0   87.0    5.0   18.5   27.5   13.5 1308.8
  24        35.2    0.2   -4.8    4.2    0.2   84.8   -5.0   18.9   27.6   11.2 1264.0
  24        24.8    2.8    0.8   -5.2    1.8   90.2    0.0   19.5   27.9   12.8 1231.4
  24        14.0    1.0    1.0   -4.0    2.0  101.0   10.0   20.4   28.2   13.5 1211.0
  24        -0.2    0.8    4.8   -7.2    1.8  110.2   25.0   21.2   28.6   13.8 1159.0
  24         1.2    3.2    7.2  -14.8    4.2  113.8   25.0   22.2   28.7   13.0 1133.8
  24        10.0    4.0    6.0  -17.0    7.0  105.0    0.0   22.9   28.8   15.4 1090.0
  24        -3.0    1.0    1.0   -8.0    6.0  108.0   -5.0   23.5   28.9   14.5 1057.6
  24         0.8    0.8   -1.2   -4.2    4.8  104.2   -5.0   24.4   29.0   14.0 1045.4
  24        -2.0    3.0    0.0   -4.0    1.0  107.0    0.0   25.4   28.9   12.6 1088.0
  24        -8.0   -1.0   -1.0   -2.0    4.0  108.0    5.0   26.3   28.8   13.8 1108.0
  24        -7.8    3.2   -1.8   -5.8    4.2   97.8  -10.0   27.2   28.6   12.5 1151.8
  24        -3.8    6.2    0.2   -7.8    1.2   93.8  -10.0   28.0   28.4    9.9 1172.8
  24        -4.2    9.8    2.8  -13.2    0.8   94.2    0.0   28.3   28.3    8.9 1173.8
  24        -4.0    5.0    1.0  -10.0    4.0   89.0   -5.0   29.1   27.8    9.1 1224.0
  24        -4.2   -0.2    0.8   -6.2    5.8   84.2  -15.0   29.7   27.6   11.5 1221.6
  24       -11.0   -2.0   -2.0   -5.0    9.0   91.0  -10.0   30.6   27.5   15.0 1218.8
  24        -9.0   -5.0   -2.0   -1.0    8.0   94.0    0.0   31.5   27.2   23.2 1172.2
  24         3.2   -3.8   -0.8   -0.8    5.2   86.8   -5.0   32.8   27.2   31.9 1110.2
  24        11.0   -3.0   -3.0   -4.0   10.0   79.0  -10.0   33.9   27.2   37.5 1042.6
  24         8.5   -0.5   -3.5   -3.5    7.5   71.5   -5.0   35.8   26.9   39.4  885.4
  24         2.8   -1.2   -2.2   -7.2   10.8   67.2    5.0   38.0   26.1   40.0  682.2
  24        10.3   -0.7    3.3    0.0   -2.7   34.7   10.0   19.5   26.1   31.7 1281.6
  24        12.2   -2.8    1.2    4.2   -2.8   32.8   10.0   20.1   26.0   39.6 1406.0
  24         8.8   -6.2   -2.2    9.8   -1.2   36.2    5.0   20.3   25.9   46.2 1479.2
  24         3.8   -6.2   -4.2    2.8    7.8   36.2    0.0   20.9   26.1   52.3 1497.8
  24        -0.2   -6.2   -4.2    6.8    3.8   35.2    0.0   21.1   26.2   55.4 1593.4
  24         6.5   -2.5   -3.5    2.5    3.5   28.5   -5.0   21.7   26.1   58.4 1695.2
  24         2.0   -2.0   -2.0    2.0    2.0   33.0    0.0   21.9   26.2   59.8 1802.0
  24         2.2   -1.8   -1.8    1.2    2.2   32.8    0.0   21.8   26.2   57.9 1895.2
  24         2.5   -1.5   -6.5    5.5    2.5   27.5  -10.0   21.6   26.3   50.8 1968.4
  24        -0.2    1.8   -3.2    1.8   -0.2   25.2  -10.0   21.5   26.3   49.5 2072.0
  24         9.5    6.5   -2.5    4.5   -8.5   40.5    0.0   23.0   30.6    8.6  381.8
  24         8.2    1.2   -4.8    7.2   -3.8   41.8    0.0   23.5   30.4    9.6  387.6
  24         8.5   -1.5   -5.5    1.5    5.5   41.5    0.0   24.6   30.3   13.4  382.4
  24         6.0    4.0   -1.0    1.0   -4.0   44.0    5.0   25.0   30.2   13.5  426.8
  24       -10.5    6.5    7.5   -6.5   -7.5   60.5   20.0   26.0   30.0   18.4  389.2
  24        -4.8    5.2    6.2   -8.8   -2.8   54.8   15.0   26.5   29.9   19.8  341.6
  24         3.5    6.5    2.5   -5.5   -3.5   46.5    0.0   27.0   29.7   18.6  288.8
  24         6.2    7.2    4.2   -2.8   -8.8   43.8    0.0   26.8   29.8   16.2  297.8
  24         3.8    5.8    1.8   -2.2   -5.2   46.2    0.0   27.1   29.7   16.7  266.2
  24         0.2    5.2    3.2   -4.8   -3.8   44.8    0.0   27.2   29.6   16.7  244.6
  24        -0.2    5.8    2.8  -11.2    2.8   45.2    0.0   27.5   29.5   16.6  205.6
  24        -2.2    7.8    4.8  -12.2   -0.2   42.2    0.0   28.1   29.4   19.5  110.6
  24         5.5   10.5    7.5  -12.5   -5.5   39.5    0.0   28.1   29.4   18.7   92.6
  24         1.2    2.2   -0.8   -3.8    2.2   33.8   -5.0   28.0   29.3   18.3   70.0
  24         4.8    3.8    1.8   -2.2   -3.2   30.2   -5.0   28.2   29.1   17.4   32.4
  24        -1.8    3.2    2.2   -5.8    0.2   26.8   -5.0   28.4   28.9   19.9   -2.0
  24         1.8    1.8    2.8   -1.2   -3.2   33.2    0.0   13.2   27.8   13.1 1788.2
  24         0.2    0.2    1.2    6.2   -7.8   34.8    0.0   13.5   27.8   12.7 1735.0
  24         0.2    1.2    1.2    4.2   -6.8   34.8    0.0   13.8   27.9   14.4 1711.6
  24        -4.8    1.2    0.2    3.2   -4.8   34.8    0.0   14.1   27.9   15.1 1664.8
  24        -3.0    1.0    0.0    1.0   -2.0   33.0    0.0   14.7   27.9   17.1 1620.4
  24        -2.8    0.2    0.2    4.2   -4.8   32.8    0.0   15.1   27.8   19.5 1562.0
  24        16.0    1.0   -5.0   10.0   -6.0   44.0    0.0   19.5   30.5   13.0  147.2
  24         8.2   -2.8   -2.8    6.2   -0.8   41.8    5.0   19.8   30.4   16.2   67.6
  24         8.8   -4.2   -4.2    5.8    2.8   36.2   10.0   20.2   30.1   18.8    0.6
  24         6.5  -10.5  -10.5   11.5    9.5   43.5   20.0   20.6   30.0   19.5  -26.6
  24         3.0   -1.0   -2.0    3.0    0.0   47.0   20.0   21.3   29.9   21.0   -6.4
  24         2.2    0.2   -5.8    8.2   -2.8   47.8   -5.0   21.7   29.9   25.3   15.6
  24         2.5    2.5   -1.5    1.5   -2.5   42.5  -15.0   22.3   29.8   27.4   84.0
  24        -3.0    5.0    1.0   -4.0   -2.0   43.0    0.0   22.4   29.8   28.2   97.8
  24       -10.5    6.5    4.5   -5.5   -5.5   40.5    5.0   22.5   29.8   29.3  106.4
  24       -12.2    5.8    2.8   -0.2   -8.2   42.2    0.0   22.7   29.9   27.1  123.2
  24        25.5    3.5   -2.5    6.5   -7.5   39.5    0.0   17.7   30.2   10.5   98.6
  24        29.0   -2.0   -8.0   12.0   -2.0   46.0    0.0   17.8   30.1    7.3  161.2
  24        49.0    2.0   -1.0   -2.0    1.0   51.0    5.0   17.5   30.1    4.1  231.8
  24        41.8   10.8   16.8  -15.2  -12.2   78.2   25.0   17.6   30.1    3.1  287.4
  24         5.0    4.0   13.0   -1.0  -16.0   95.0   25.0   18.2   30.2    6.3  281.4
  24       -15.5    5.5   12.5    5.5  -23.5  105.5   25.0   18.8   30.2   10.3  269.4
  24       -20.2   -2.2   19.8   -5.2  -12.2  105.2   30.0   19.4   30.1   12.2  206.0
  24       -27.2   -6.2  -11.2    7.8    9.8  102.2   40.0   20.0   30.0   10.8  136.4
  24       -13.2    2.8    5.8  -12.2    3.8   93.2   15.0   20.7   29.9   11.2  107.8
  24       -11.8   -9.8  -10.8    1.2   19.2   96.8  -20.0   21.6   29.3    9.3   98.6
  24        -6.2    1.8   -6.2   -0.2    4.8   96.2  -20.0   22.7   29.1    8.4  168.2
  24         3.5    1.5   -6.5    6.5   -1.5   96.5  -20.0   23.4   29.0    9.6  267.2
  24        12.2    1.2   -4.8    3.2    0.2   92.8  -10.0   23.9   28.8   10.2  320.8
  24        10.2    0.2   -4.8    8.2   -3.8   94.8   10.0   24.7   28.7   12.8  356.2
  24        11.5   -1.5   -5.5    5.5    1.5   88.5    5.0   25.5   28.5   13.4  347.8
  24         0.8    0.8   -1.2   -2.2    2.8   89.2   15.0   26.4   28.2   17.8  296.8
  24        -6.5    2.5   -0.5   -5.5    3.5   81.5   20.0   27.5   27.3   23.9  216.8
  24        -9.8   -0.8   -1.8   -9.8   12.2   59.8    5.0   28.5   26.3   28.1  120.4
  24       -13.2   -3.2   -4.2   -5.2   12.8   48.2    0.0   29.8   25.6   30.8  -10.8
  24         1.0    3.0   -2.0    7.0   -8.0   49.0    5.0   26.0   27.6   18.5 1368.4
  24         0.5    6.5    3.5   -1.5   -8.5   54.5   10.0   26.1   27.6   16.9 1347.2
  24        10.2    5.2    0.2    1.2   -6.8   54.8    5.0   26.0   27.6   12.8 1324.4
  24        24.0    4.0   -2.0   -1.0   -1.0   51.0    0.0   26.4   27.5   12.8 1353.0
  24        29.2    6.2    2.2   -0.8   -7.8   55.8    5.0   27.0   27.7   11.2 1395.4
  24        35.8   10.8    9.8  -13.2   -7.2   64.2   15.0   28.5   27.5   12.1 1431.6
  24        27.2    9.2    8.2   -9.8   -7.8   72.8   20.0   29.2   27.1   10.7 1443.6
  24        12.8    6.8    4.8   -6.2   -5.2   77.2   20.0   29.7   26.3    9.4 1430.0
  24         6.0    5.0    3.0   -4.0   -4.0   79.0   15.0   29.8   26.1    7.4 1400.2
  24       -19.5    2.5   -3.5    1.5   -0.5   94.5   25.0   30.5   26.1    7.4 1396.2
  24       -18.5   -0.5   -3.5   -4.5    8.5   93.5   15.0   30.7   26.1    9.9 1370.6
  24       -12.2   -3.2   -2.2   -2.2    7.8   87.2   -5.0   31.6   25.8   12.3 1352.0
  24        -2.0   -3.0   -4.0    1.0    6.0   77.0  -20.0   32.0   25.8   11.6 1305.0
  24        -8.5   -4.5   -6.5    4.5    6.5   83.5  -10.0   33.0   25.8   12.4 1216.6
  24        -9.2   -3.2   -3.2    0.8    5.8   79.2   -5.0   34.0   25.9   16.0 1114.0
  24       -11.8   -1.8   -0.8   -1.8    4.2   76.8    0.0   34.7   25.8   17.5 1045.0
  24        -6.0   -3.0   -3.0    0.0    6.0   76.0    0.0   35.6   25.7   18.7  963.2
  24        -6.0   -3.0   -5.0    5.0    3.0   76.0    0.0   37.0   25.2   18.1  845.2
  24        -0.5    1.5   -2.5   -1.5    2.5   65.5   -5.0   38.2   25.0   17.2  745.0
  24         6.2    2.2   -1.8    1.2   -1.8   58.8  -10.0   39.2   24.2   15.1  683.6
  24         2.2    0.2   -4.8    3.2    1.2   62.8    0.0   39.9   22.5   11.5  655.0
  24        -3.8    1.2   -3.8    0.2    2.2   63.8    5.0   41.6   20.2   10.7  609.6
  24         1.5    0.5   -4.5   -0.5    4.5   58.5   -5.0   43.8   18.3   12.4  578.4
  24        15.8    2.8   -0.2    4.8   -7.2   39.2    5.0   19.4   29.9   10.7  274.8
  24        19.0   11.0    7.0   -9.0   -9.0   46.0   10.0   18.3   29.9    7.2  268.2
  24         8.5    2.5   -5.5    8.5   -5.5   56.5    5.0   18.5   29.9    6.5  259.2
  24         3.8    5.8    1.8   -2.2   -5.2   66.2   10.0   18.8   29.9    7.2  256.0
  24         5.8    6.8    8.8  -12.2   -3.2   64.2   15.0   19.1   29.9    8.6  220.8
  24         6.8    1.8    3.8  -12.2    6.8   58.2   10.0   19.6   29.7   10.9  170.2
  24         5.2    1.2   -4.8   -7.8   11.2   54.8   10.0   20.2   29.4   10.6  100.8
  24        -5.0    0.0    2.0   -6.0    4.0   60.0   15.0   20.7   29.2    7.1   68.0
  24        -4.2   -3.2   -3.2    2.8    3.8   64.2    5.0   21.5   28.9    7.2   75.8
  24         5.8   -1.2   -5.2    5.8    0.8   69.2   -5.0   22.4   28.4    7.7  139.0
  24         5.8    0.8   -6.2    5.8   -0.2   74.2  -10.0   23.5   28.0    7.6  228.0
  24        24.2   -1.8   -4.8    7.2   -0.8   65.8  -10.0   24.8   27.5    8.5  258.0
  24        25.5   -2.5   -5.5   14.5   -6.5   59.5   -5.0   26.4   26.8   11.3  225.2
  24         2.2   -3.8   -2.8    7.2   -0.8   57.8   20.0   28.2   26.1   16.6  140.6
  24        -2.2   -5.2   -5.2    6.8    3.8   47.2   20.0   30.3   25.2   22.3  -21.8
  24         3.8    8.8    0.8    8.8  -18.2   56.2   10.0   15.1   29.3    6.4  310.2
  24        17.8    4.8   -1.2    9.8  -13.2   52.2    5.0   15.2   29.2    6.8  308.0
  24        39.2    8.2   -2.8    7.2  -12.8   50.8    0.0   14.9   29.3    6.0  329.8
  24        33.2    6.2    2.2    6.2  -14.8   81.8   15.0   14.8   29.4    6.1  272.6
  24        37.3    7.3    5.3    0.0  -12.7   92.7   20.0   14.7   29.4    8.0  216.0
  24        44.2    3.2    1.2   13.2  -17.8   85.8   15.0   14.7   29.4   10.2  153.0
  24        38.5   -0.5    3.5    9.5  -12.5   86.5   25.0   14.5   29.4   13.2   99.6
  24        36.2   -1.8    1.2    4.2   -3.8   83.8   45.0   14.4   29.5   14.1   39.0
  24        25.8   -3.2   -2.2   -7.2   12.8   69.2   40.0   14.1   29.6   13.4    2.0
  24        10.8   -5.2   -4.2   -8.2   17.8   59.2   15.0   13.9   29.6   12.7  -28.0
  24        -1.2   -5.2   -6.2   -7.2   18.8   51.2   -5.0   13.6   29.7   14.6  -56.2
  24       -13.2  -13.2  -13.2   -2.2   28.8   53.2  -10.0   13.9   29.6   14.2  -84.0
  24       -13.0   -9.0   -9.0    2.0   16.0   43.0  -30.0   14.1   29.6   13.6 -112.0
  24       -13.2   -7.2   -7.2    3.8   10.8   38.2  -50.0   14.2   29.4   12.1 -137.6
  24        -6.2   -2.2   -2.2   -1.2    5.8   31.2  -45.0   14.3   29.4    9.8 -146.6
  24         2.5    0.5    0.5   -1.5    0.5   27.5  -30.0   14.5   29.4    9.7 -135.6
  24         5.5    2.5    2.5   -2.5   -2.5   24.5  -20.0   14.8   29.2    7.0 -106.8
  24         2.2    6.2    4.2   -4.8   -5.8   27.8  -10.0   15.3   29.1    6.4  -59.0
  24         1.8    5.8    2.8   -0.2   -8.2   28.2   -5.0   15.8   29.1    9.3   -7.4
  24       -12.3    5.7   -1.3   -4.3    0.0   42.3    5.0   16.5   29.1   11.8   56.2
  24       -14.8    8.2   -3.8   -1.8   -2.8   44.8    5.0   17.5   29.1   16.8  110.8
  24        -5.2    3.8   -7.2    0.8    2.8   40.2    0.0   18.3   29.3   21.5  156.6
  24        -3.0    4.0  -10.0    6.0    0.0   43.0    0.0   18.7   29.2   23.5  182.2
  24        11.0    0.0   -8.0    6.0    2.0   39.0    0.0   18.2   29.2   22.2  233.2
  24        14.5    6.5   -6.5    1.5   -1.5   40.5    0.0   18.9   29.2   21.2  260.0
  24        14.2    3.2   -7.8    4.2    0.2   40.8    0.0   19.4   29.3   23.3  241.8
  24        12.8   -3.2   -8.2    7.8    3.8   37.2    0.0   20.7   29.4   25.4  145.0
  24        -5.0    2.0   -2.0    6.0   -6.0   60.0   20.0   21.6   29.3   25.9   84.0
  24        -0.8    3.2    2.2    0.2   -5.8   55.8   15.0   22.0   29.2   23.5   58.0
  24         7.2    3.2    2.2   -0.8   -4.8   47.8    5.0   22.5   28.8   23.7   40.4
  24         0.5    8.5    1.5   -2.5   -7.5   49.5   -5.0   23.3   28.3   22.2   55.2
  24        -7.0    7.0    3.0   -5.0   -5.0   52.0    0.0   24.4   27.4   18.9  107.0
  24        -7.8    5.2    4.2   -3.8   -5.8   52.8    5.0   24.7   27.2   17.2  128.6
  24        -8.2    0.8    2.8   -0.2   -3.2   53.2    0.0   24.8   27.3   15.0  152.2
  24        -2.2    0.8   -2.2   -2.2    3.8   52.2   -5.0   24.5   28.2   12.2  203.4
  24         3.2    0.2   -4.8    2.2    2.2   46.8  -10.0   23.8   28.5   11.4  185.2
  24         4.0    0.0   -4.0   -1.0    5.0   51.0   -5.0   23.3   28.6    9.1  157.0
  24        11.0    2.0    0.0   -1.0   -1.0   49.0    0.0   23.3   28.7   11.8  162.0
  24         9.0    1.0    1.0   -1.0   -1.0   56.0    5.0   23.2   28.6   11.9  146.0
  24         2.0   -5.0   -3.0   10.0   -2.0   58.0    5.0   23.7   28.5   13.7  161.6
  24        -3.0   -3.0   -3.0   11.0   -5.0   58.0    5.0   24.8   27.9   15.3  197.4
  24        -2.0    1.0    4.0   -5.0    0.0   52.0   10.0   26.0   27.2   15.5  173.4
  24        -7.8   -0.8    5.2   -1.8   -2.8   47.8   10.0   27.4   25.3   16.2   81.8
  24        -2.5   -0.5   -0.5   -0.5    1.5   37.5    0.0   28.3   24.3   16.4   26.4
  24         0.5   -3.5   -3.5    5.5    1.5   39.5  -10.0   29.7   23.9   20.0   22.6
  24         0.8   -6.2   -5.2    7.8    3.8   39.2  -10.0   30.5   24.5   25.1   42.0
  24        16.8    4.8    2.8   -7.2   -0.2   43.2   10.0   29.0   24.8   56.6 2202.2
  24        -0.5   -5.5   -0.5    1.5    4.5   55.5   15.0   29.2   24.7   58.1 2068.4
  24        -0.8   -4.8   -1.8    4.2    2.2   55.8   15.0   29.8   24.3   55.7 1953.0
  24         1.0   -6.0   -5.0    1.0   10.0   54.0    0.0   29.9   24.2   53.1 1896.4
  24         1.5   -5.5   -4.5    2.5    7.5   53.5    0.0   29.8   24.2   50.1 1853.2
  24         7.5   -2.5   -3.5    0.5    5.5   47.5   -5.0   30.1   23.8   45.4 1735.2
  24        12.0    1.0   -3.0    1.0    1.0   43.0  -10.0   30.8   23.3   40.2 1620.2
  24         0.2    1.2    0.2   -1.8    0.2   49.8    0.0   31.5   23.0   36.4 1592.8
  24         0.8    1.8    1.8   -2.2   -1.2   49.2    0.0   32.1   22.7   32.5 1537.4
  24        -1.5   -1.5   -0.5    1.5    0.5   51.5    0.0   31.8   22.6   30.3 1393.0
  24        -7.5    0.5   -1.5   -1.5    2.5   52.5    0.0   31.8   22.4   28.0 1275.6
  24        -7.0    1.0   -1.0   -5.0    5.0   47.0   -5.0   31.7   22.3   26.1 1148.2
  24       -11.5    1.5    0.5   -6.5    4.5   46.5   -5.0   31.7   22.3   24.9 1066.2
  24       -10.2    0.8    1.8   -3.2    0.8   45.2    0.0   31.5   22.3   28.3  990.4
  24        -7.8   -0.8    1.2   -1.8    1.2   42.8    0.0   31.6   22.1   33.3  896.8
  24        -2.0   -1.0   -1.0    1.0    1.0   37.0   -5.0   31.8   21.8   39.4  831.4
  24         3.0    0.0   -4.0    2.0    2.0   27.0  -15.0   31.9   22.1   42.9  779.0
  24        -6.0    6.0    1.0    2.0   -9.0   51.0   10.0   13.7   29.4    8.5  306.8
  24         5.5    7.5   -1.5   -2.5   -3.5   49.5    5.0   13.7   29.4   10.2  296.2
  24        16.2    1.2   -6.8   11.2   -5.8   48.8    0.0   13.7   29.3   11.3  309.6
  24        19.8    1.8   -6.2    4.8   -0.2   50.2    0.0   13.1   29.2    8.0  331.0
  24        14.5    9.5    2.5   -2.5   -9.5   65.5   10.0   12.8   29.3    7.7  330.4
  24         5.5   10.5    6.5    2.5  -19.5   84.5   15.0   12.9   29.3    7.6  350.0
  24        19.8    8.8    7.8   -4.2  -12.2  100.2   20.0   13.4   29.0    4.2  383.8
  24        30.2    8.2    3.2    2.2  -13.8  104.8   20.0   13.7   29.0    4.2  351.0
  24        27.5    5.5    1.5    4.5  -11.5  102.5   15.0   13.6   29.0    5.5  285.2
  24        21.8    4.8    1.8    8.8  -15.2  103.2   10.0   13.6   28.9    6.4  210.6
  24         9.2   -3.8   -3.8    1.2    6.2  100.8   40.0   13.8   28.8    9.9  118.4
  24        -7.2   -8.2   -8.2   -5.2   21.8   82.2   50.0   13.8   28.9   12.8   36.2
  24        -9.8  -11.8  -11.8  -11.8   35.2   64.8   20.0   13.7   29.0   11.9  -45.0
  24       -15.8  -14.8  -15.8   -5.8   36.2   55.8    0.0   13.7   29.0   12.4  -99.2
  24       -14.2  -13.2  -14.2    3.8   23.8   49.2  -25.0   13.8   29.0   12.9 -125.2
  24       -12.8   -5.8   -5.8   -0.8   12.2   37.8  -55.0   13.7   28.8   10.9 -122.0
  36         5.5    2.5   -0.5   -2.5    0.5   34.5    5.0   29.7   26.2   30.3   88.8
  36         2.8    4.8    2.8   -4.2   -3.2   27.2    5.0   18.3   29.1   15.6  -41.8
  36         8.0    0.0    0.0   -2.0    2.0   27.0    0.0   17.8   28.9   16.6  -80.6
  36        13.5    0.5    0.5   -6.5    5.5   26.5   -5.0   17.9   29.0   17.0  -76.4
